Date,Close,Volume
2020/05/26,15.2,23880
2020/05/27,15.1,24006
2020/05/28,15.35,45046
2020/05/29,15.45,50362
2020/06/01,15.65,56981
2020/06/02,15.85,46869
2020/06/03,16.2,64858
2020/06/04,16.3,94781
2020/06/05,16.5,49132
2020/06/08,17.05,124631
2020/06/09,16.85,82141
2020/06/10,16.6,94791
2020/06/11,16.05,92770
2020/06/12,15.7,86040
2020/06/15,15.4,81647
2020/06/16,15.5,63149
2020/06/17,15.3,74747
2020/06/18,15.35,57824
2020/06/19,15.4,57562
2020/06/22,15.7,42863
2020/06/23,15.45,57029
2020/06/24,15.75,58563
2020/06/29,15.55,40174
2020/06/30,15.9,44717
2020/07/01,16.1,41759
2020/07/02,16.35,53354
2020/07/03,16.45,51767
2020/07/06,16.65,55080
2020/07/07,16.6,80993
2020/07/08,16.65,34987
2020/07/09,16.45,40570
2020/07/10,16.45,41687
2020/07/13,17.05,106711
2020/07/14,16.8,91424
2020/07/15,16.0,98486
2020/07/16,16.6,139039
2020/07/17,16.4,70857
2020/07/20,16.55,106825
2020/07/21,17.15,210085
2020/07/22,17.5,116464
2020/07/23,19.25,401688
2020/07/24,19.75,546884
2020/07/27,21.7,490842
2020/07/28,22.25,599722
2020/07/29,22.4,308114
2020/07/30,22.2,249008
2020/07/31,22.35,137076
2020/08/03,23.8,366890
2020/08/04,24.55,317880
2020/08/05,24.9,274027
2020/08/06,26.6,369199
2020/08/07,25.6,334380
2020/08/10,25.3,187635
2020/08/11,25.0,144853
2020/08/12,23.95,207439
2020/08/13,23.75,153054
2020/08/14,23.55,120344
2020/08/17,24.15,139404
2020/08/18,24.1,139974
2020/08/19,23.4,114113
2020/08/20,21.8,202244
2020/08/21,21.8,159091
2020/08/24,22.6,120357
2020/08/25,22.15,102738
2020/08/26,22.35,73886
2020/08/27,21.95,84525
2020/08/28,21.9,69220
2020/08/31,21.2,126184
2020/09/01,21.9,81661
2020/09/02,21.7,57874
2020/09/03,21.55,87870
2020/09/04,21.45,73445
2020/09/07,23.55,97935
2020/09/08,22.7,316528
2020/09/09,23.7,206963
2020/09/10,23.35,143782
2020/09/11,23.0,78463
2020/09/14,23.9,142653
2020/09/15,25.3,379771
2020/09/16,25.7,306889
2020/09/17,25.75,137350
2020/09/18,25.8,136993
2020/09/21,25.15,121025
2020/09/22,25.1,122720
2020/09/23,26.0,195111
2020/09/24,25.95,283777
2020/09/25,25.0,209996
2020/09/28,27.5,407009
2020/09/29,27.5,547952
2020/09/30,28.55,426461
2020/10/05,28.7,313485
2020/10/06,28.35,226868
2020/10/07,29.5,317850
2020/10/08,32.2,644955
2020/10/12,32.05,351806
2020/10/13,31.55,214865
2020/10/14,32.2,270942
2020/10/15,31.55,230756
2020/10/16,30.65,225685
2020/10/19,31.0,136764
2020/10/20,31.2,104787
2020/10/21,31.35,352041
2020/10/22,33.0,426117
2020/10/23,32.75,406287
2020/10/26,33.0,186142
2020/10/27,33.5,187707
2020/10/28,32.65,180026
2020/10/29,32.95,282958
2020/10/30,30.7,484911
2020/11/02,29.65,297145
2020/11/03,29.8,161571
2020/11/04,31.65,314878
2020/11/05,30.55,212277
2020/11/06,30.5,149150
2020/11/09,31.8,196866
2020/11/10,31.0,164755
2020/11/11,31.0,90328
2020/11/12,31.1,115770
2020/11/13,31.3,90119
2020/11/16,32.2,183825
2020/11/17,32.15,162049
2020/11/18,32.35,81751
2020/11/19,32.1,77992
2020/11/20,33.05,222076
2020/11/23,36.35,210208
2020/11/24,38.15,589153
2020/11/25,38.45,267141
2020/11/26,39.5,261086
2020/11/27,39.15,190902
2020/11/30,40.5,420090
2020/12/01,41.55,191981
2020/12/02,41.45,171486
2020/12/03,43.3,420713
2020/12/04,47.6,493268
2020/12/07,50.0,534982
2020/12/08,50.9,382624
2020/12/09,49.9,321064
2020/12/10,47.3,460980
2020/12/11,46.1,390831
2020/12/14,46.15,233249
2020/12/15,44.0,275779
2020/12/16,44.9,250325
2020/12/17,46.05,189154
2020/12/18,45.85,230929
2020/12/21,47.45,251791
2020/12/22,45.7,222355
2020/12/23,46.1,135323
2020/12/24,46.55,97966
2020/12/25,46.75,97512
2020/12/28,48.6,221527
2020/12/29,47.4,251092
2020/12/30,48.3,153219
2020/12/31,47.15,302544
2021/01/04,45.55,404287
2021/01/05,46.35,203151
2021/01/06,46.95,302206
2021/01/07,46.2,166045
2021/01/08,47.85,338482
2021/01/11,50.0,443638
2021/01/12,48.45,491919
2021/01/13,50.0,266941
2021/01/14,49.9,199727
2021/01/15,48.75,331036
2021/01/18,49.65,190786
2021/01/19,53.0,550193
2021/01/20,52.1,519997
2021/01/21,54.0,348707
2021/01/22,56.5,423774
2021/01/25,57.2,318727
2021/01/26,54.8,323042
2021/01/27,54.8,231131
2021/01/28,51.2,452064
2021/01/29,50.0,272439
2021/02/01,50.8,242326
2021/02/02,52.6,241455
2021/02/03,52.0,176459
2021/02/04,51.9,95373
2021/02/05,52.9,145274
2021/02/17,57.6,355339
2021/02/18,58.2,288059
2021/02/19,57.2,191246
2021/02/22,56.8,182775
2021/02/23,55.8,206602
2021/02/24,54.7,180656
2021/02/25,55.7,112476
2021/02/26,54.2,176299
2021/03/02,52.7,163944
2021/03/03,51.9,285125
2021/03/04,49.05,384755
2021/03/05,47.05,349619
2021/03/08,46.1,212695
2021/03/09,46.35,264755
2021/03/10,46.55,192335
2021/03/11,48.65,240352
2021/03/12,49.1,183940
2021/03/15,48.15,102039
2021/03/16,48.3,111862
2021/03/17,48.0,113793
2021/03/18,47.05,160016
2021/03/19,46.05,185889
2021/03/22,48.2,175443
2021/03/23,48.5,175622
2021/03/24,47.15,122860
2021/03/25,48.65,163386
2021/03/26,49.75,222732
2021/03/29,49.35,157066
2021/03/30,50.6,168086
2021/03/31,50.2,184404
2021/04/01,50.5,85795
2021/04/06,50.7,110723
2021/04/07,51.5,103388
2021/04/08,54.0,347099
2021/04/09,53.0,214576
2021/04/12,53.6,136214
2021/04/13,54.4,426359
2021/04/14,52.7,352171
2021/04/15,53.1,156211
2021/04/16,54.0,265218
2021/04/19,54.6,146441
2021/04/20,54.1,117157
2021/04/21,53.4,127366
2021/04/22,54.8,338155
2021/04/23,57.0,438045
2021/04/26,61.8,511527
2021/04/27,60.5,321579
2021/04/28,60.0,293373
2021/04/29,56.7,456717
2021/05/03,53.0,323558
2021/05/04,54.6,346875
2021/05/05,51.8,208373
2021/05/06,51.3,171739
2021/05/07,54.0,170031
2021/05/10,52.5,118082
2021/05/11,49.0,284651
2021/05/12,46.35,355398
2021/05/13,47.55,325343
2021/05/14,46.8,235494
2021/05/17,43.95,231958
2021/05/18,48.3,280228
2021/05/19,48.3,211964
2021/05/20,46.5,173152
2021/05/21,46.95,146240
2021/05/24,48.7,160119
2021/05/25,51.9,385084
